Time Period,Charge-off rate on all loans,Charge-off rate on loans to finance agricultural production,Charge-off rate on business loans,Charge-off rate on loans secured by real estate,Charge-off rate on consumer loans,Charge-off rate on single family residential mortgages,Charge-off rate on lease financing receivables,Charge-off rate on credit card loans,Charge-off rate on other consumer loans,Charge-off rate on commercial real estate loans (excluding farmland),Charge-off rate on farmland loans,Charge-off rate on all loans,Charge-off rate on loans to finance agricultural production,Charge-off rate on business loans,Charge-off rate on loans secured by real estate,Charge-off rate on consumer loans,Charge-off rate on single family residential mortgages,Charge-off rate on lease financing receivables,Charge-off rate on credit card loans,Charge-off rate on other consumer loans,Charge-off rate on commercial real estate loans (excluding farmland),Charge-off rate on farmland loans
2019Q1,0.47,0.25,0.3,0.03,2.24,0,0.19,3.68,0.87,0.05,0.09,0.47,0.2,0.27,0.02,2.35,0.01,0.19,3.83,0.9,0.03,0.09
2019Q2,0.47,0.26,0.31,0,2.25,-0.02,0.2,3.63,0.92,0.02,0.05,0.47,0.26,0.32,-0.01,2.28,-0.03,0.2,3.83,0.8,0.02,0.04
2019Q3,0.52,0.17,0.44,0,2.35,-0.04,0.17,3.74,0.96,0.02,0.07,0.48,0.18,0.41,-0.01,2.2,-0.04,0.15,3.49,0.95,0.02,0.06
2019Q4,0.49,0.25,0.36,0.01,2.3,0.01,0.25,3.79,0.9,0.02,0.08,0.52,0.28,0.42,0.02,2.3,0.01,0.29,3.65,1,0.03,0.11
2020Q1,0.52,0.22,0.56,0.01,2.28,-0.03,0.24,3.72,0.93,0.04,0.08,0.53,0.18,0.5,0,2.39,-0.02,0.24,3.89,0.95,0.02,0.05
2020Q2,0.55,0.2,0.59,0.05,2.25,0,0.52,3.77,0.92,0.08,0.09,0.55,0.2,0.6,0.04,2.3,-0.01,0.53,4.01,0.81,0.07,0.08
2020Q3,0.49,0.36,0.52,0.06,1.96,0,0.94,3.6,0.57,0.12,0.05,0.46,0.37,0.49,0.06,1.82,-0.01,0.78,3.34,0.55,0.13,0.04
2020Q4,0.4,0.25,0.41,0.06,1.5,-0.03,0.44,2.7,0.54,0.13,0.02,0.41,0.26,0.47,0.07,1.5,-0.02,0.52,2.58,0.61,0.15,0.05
2021Q1,0.33,0.06,0.28,0.02,1.53,-0.04,0.28,2.8,0.55,0.07,0,0.33,0.05,0.26,0.01,1.61,-0.03,0.27,2.95,0.56,0.05,0.01
2021Q2,0.26,0.11,0.21,0,1.22,-0.04,0.18,2.37,0.28,0.05,0.01,0.26,0.1,0.21,0,1.24,-0.05,0.18,2.54,0.25,0.05,0
2021Q3,0.2,-0.01,0.16,0,0.97,-0.04,0.03,1.8,0.3,0.03,0.02,0.19,0,0.15,-0.01,0.89,-0.05,0.03,1.67,0.29,0.04,0.02
2021Q4,0.19,0.03,0.12,0,0.91,-0.02,0.11,1.65,0.35,0.02,0.04,0.2,0.03,0.13,0.01,0.91,-0.02,0.13,1.57,0.4,0.03,0.06
2022Q1,0.21,0.07,0.12,0,0.99,-0.02,0.25,1.72,0.44,0.02,0.03,0.22,0.07,0.11,-0.01,1.05,-0.02,0.25,1.82,0.45,0,0.04
2022Q2,0.22,0.04,0.14,-0.01,1.08,-0.03,0.07,1.84,0.47,-0.01,-0.01,0.22,0.03,0.14,-0.01,1.1,-0.03,0.07,1.97,0.41,0,-0.02
2022Q3,0.27,0,0.16,0,1.32,-0.02,0.06,2.1,0.65,0.01,0.02,0.25,0,0.16,-0.01,1.21,-0.03,0.05,1.94,0.61,0.01,0.01
2022Q4,0.33,0.01,0.22,0,1.64,-0.02,0.1,2.54,0.84,0.03,-0.03,0.35,0.01,0.25,0.01,1.65,-0.02,0.12,2.42,0.98,0.04,-0.01
2023Q1,0.38,0.1,0.27,0.04,1.76,-0.01,0.08,2.85,0.83,0.08,0,0.39,0.12,0.25,0.03,1.86,-0.01,0.08,3.02,0.83,0.07,0.02
2023Q2,0.46,0.01,0.31,0.08,2.05,0,0.12,3.17,1.02,0.16,0,0.46,0,0.31,0.09,2.09,0.01,0.12,3.38,0.91,0.17,-0.02
2023Q3,0.54,0.05,0.4,0.06,2.41,0,0.18,3.79,1.06,0.13,0.01,0.49,0.05,0.38,0.06,2.21,-0.01,0.14,3.49,0.99,0.12,0
